日期,收盘价,涨跌幅
0,2021-02-04,14.08,-3.30
1,2021-02-05,13.88,-1.42
2,2021-02-08,13.86,-0.14
3,2021-02-09,14.00,1.01
4,2021-02-10,13.99,-0.07
5,2021-02-18,14.34,2.50
6,2021-02-19,15.04,4.88
7,2021-02-22,15.31,1.80
8,2021-02-23,15.39,0.52
9,2021-02-24,15.36,-0.19
10,2021-02-25,15.34,-0.13
11,2021-02-26,15.43,0.59
12,2021-03-01,15.54,0.71
13,2021-03-02,15.67,0.84
14,2021-03-03,15.95,1.79
15,2021-03-04,16.46,3.20
16,2021-03-05,16.25,-1.28
17,2021-03-08,16.01,-1.48
18,2021-03-09,15.60,-2.56
19,2021-03-10,15.09,-3.27
20,2021-03-11,15.27,1.19
21,2021-03-12,15.14,-0.85
22,2021-03-15,15.11,-0.20
23,2021-03-16,15.76,4.30
24,2021-03-17,15.59,-1.08
25,2021-03-18,15.59,0.00
26,2021-03-19,15.45,-0.90
27,2021-03-22,15.96,3.30
28,2021-03-23,15.61,-2.19
29,2021-03-24,15.85,1.54
30,2021-03-25,15.51,-2.15
31,2021-03-26,15.95,2.84
32,2021-03-29,15.69,-1.63
33,2021-03-30,15.54,-0.96
34,2021-03-31,15.45,-0.58
35,2021-04-01,15.18,-1.75
36,2021-04-02,15.14,-0.26
37,2021-04-06,15.21,0.46
38,2021-04-07,15.27,0.39
39,2021-04-08,15.13,-0.92
40,2021-04-09,15.45,2.12
41,2021-04-12,15.67,1.42
42,2021-04-13,16.01,2.17
43,2021-04-14,16.66,4.06
44,2021-04-15,15.98,-4.08
45,2021-04-16,16.37,2.44
46,2021-04-19,16.62,1.53
47,2021-04-20,16.36,-1.56
48,2021-04-21,16.07,-1.77
49,2021-04-22,16.24,1.06
50,2021-04-23,15.82,-2.59
51,2021-04-26,15.66,-1.01
52,2021-04-27,15.13,-3.38
53,2021-04-28,15.19,0.40
54,2021-04-29,15.16,-0.20
55,2021-04-30,14.84,-2.11
56,2021-05-06,14.98,0.94
57,2021-05-07,15.02,0.27
58,2021-05-10,14.83,-1.26
59,2021-05-11,15.13,2.02
60,2021-05-12,15.28,0.99
61,2021-05-13,14.99,-1.90
62,2021-05-14,15.15,1.07
63,2021-05-17,14.99,-1.06
64,2021-05-18,15.66,4.47
65,2021-05-19,16.11,2.87
66,2021-05-20,16.28,1.06
67,2021-05-21,17.10,5.04
68,2021-05-24,16.58,-3.04
69,2021-05-25,16.26,-1.93
70,2021-05-26,16.25,-0.06
71,2021-05-27,16.24,-0.06
72,2021-05-28,16.18,-0.37
73,2021-05-31,16.63,2.78
74,2021-06-01,17.42,4.75
75,2021-06-02,16.80,-3.56
76,2021-06-03,16.49,-1.85
77,2021-06-04,16.34,-0.91
78,2021-06-07,16.50,0.98
79,2021-06-08,16.43,-0.42
80,2021-06-09,16.55,0.73
81,2021-06-10,16.84,1.75
82,2021-06-11,16.28,-3.33
83,2021-06-15,16.35,0.43
84,2021-06-16,15.66,-4.22
85,2021-06-17,15.72,0.38
86,2021-06-18,15.75,0.19
87,2021-06-21,15.87,0.76
88,2021-06-22,16.05,1.13
89,2021-06-23,16.52,2.93
90,2021-06-24,16.25,-1.63
91,2021-06-25,16.34,0.55
92,2021-06-28,16.70,2.20
93,2021-06-29,16.58,-0.72
94,2021-06-30,16.67,0.54
95,2021-07-01,16.15,-3.12
96,2021-07-02,16.40,1.55
97,2021-07-05,17.38,5.98
98,2021-07-06,17.69,1.78
99,2021-07-07,20.63,16.62
