日期,收盘价,涨跌幅
0,2021-02-04,308.27,3.79
1,2021-02-05,284.96,-7.56
2,2021-02-08,313.98,10.18
3,2021-02-09,313.08,-0.29
4,2021-02-10,318.25,1.65
5,2021-02-18,301.41,-5.29
6,2021-02-19,290.00,-3.79
7,2021-02-22,326.23,12.49
8,2021-02-23,330.07,1.18
9,2021-02-24,305.25,-7.52
10,2021-02-25,284.62,-6.76
11,2021-02-26,260.90,-8.33
12,2021-03-01,270.26,3.59
13,2021-03-02,282.55,4.55
14,2021-03-03,292.93,3.67
15,2021-03-04,280.00,-4.41
16,2021-03-05,300.00,7.14
17,2021-03-08,292.30,-2.57
18,2021-03-09,265.62,-9.13
19,2021-03-10,270.98,2.02
20,2021-03-11,270.46,-0.19
21,2021-03-12,264.20,-2.31
22,2021-03-15,266.12,0.73
23,2021-03-16,234.50,-11.88
24,2021-03-17,244.20,4.14
25,2021-03-18,249.70,2.25
26,2021-03-19,251.56,0.74
27,2021-03-22,243.90,-3.05
28,2021-03-23,231.99,-4.88
29,2021-03-24,224.66,-3.16
30,2021-03-25,222.60,-0.92
31,2021-03-26,229.63,3.16
32,2021-03-29,226.34,-1.43
33,2021-03-30,237.17,4.78
34,2021-03-31,229.00,-3.44
35,2021-04-01,239.00,4.37
36,2021-04-02,241.30,0.96
37,2021-04-06,275.00,13.97
38,2021-04-07,264.50,-3.82
39,2021-04-08,281.48,6.42
40,2021-04-09,281.48,0.00
41,2021-04-12,261.50,-7.10
42,2021-04-13,255.99,-2.11
43,2021-04-14,268.00,4.69
44,2021-04-15,257.13,-4.06
45,2021-04-16,259.99,1.11
46,2021-04-19,293.80,13.00
47,2021-04-20,284.66,-3.11
48,2021-04-21,292.68,2.82
49,2021-04-22,281.32,-3.88
50,2021-04-23,284.52,1.14
51,2021-04-26,275.66,-3.11
52,2021-04-27,278.05,0.87
53,2021-04-28,280.50,0.88
54,2021-04-29,261.52,-6.77
55,2021-04-30,269.30,2.97
56,2021-05-06,256.60,-4.72
57,2021-05-07,239.80,-6.55
58,2021-05-10,237.42,-0.99
59,2021-05-11,237.02,-0.17
60,2021-05-12,250.89,5.85
61,2021-05-13,242.18,-3.47
62,2021-05-14,241.57,-0.25
63,2021-05-17,250.01,3.49
64,2021-05-18,251.99,0.79
65,2021-05-19,252.43,0.17
66,2021-05-20,249.10,-1.32
67,2021-05-21,243.77,-2.14
68,2021-05-24,263.30,8.01
69,2021-05-25,260.00,-1.25
70,2021-05-26,257.20,-1.08
71,2021-05-27,260.45,1.26
72,2021-05-28,266.89,2.47
73,2021-05-31,276.47,3.59
74,2021-06-01,273.00,-1.26
75,2021-06-02,265.30,-2.82
76,2021-06-03,276.77,4.32
77,2021-06-04,292.16,5.56
78,2021-06-07,289.07,-1.06
79,2021-06-08,278.04,-3.82
80,2021-06-09,276.35,-0.61
81,2021-06-10,274.65,-0.62
82,2021-06-11,273.02,-0.59
83,2021-06-15,258.61,-5.28
84,2021-06-16,253.60,-1.94
85,2021-06-17,250.92,-1.06
86,2021-06-18,262.27,4.52
87,2021-06-21,272.00,3.71
88,2021-06-22,255.35,-6.12
89,2021-06-23,254.29,-0.42
90,2021-06-24,245.01,-3.65
91,2021-06-25,248.60,1.47
92,2021-06-28,289.72,16.54
93,2021-06-29,283.04,-2.31
94,2021-06-30,282.70,-0.12
95,2021-07-01,269.39,-4.71
96,2021-07-02,266.00,-1.26
97,2021-07-05,288.88,8.60
98,2021-07-06,282.04,-2.37
99,2021-07-07,306.61,8.71
