日期,收盘价,涨跌幅
0,2021-06-09,79.59,320.22
1,2021-06-10,116.00,45.75
2,2021-06-11,106.00,-8.62
3,2021-06-15,115.73,9.18
4,2021-06-16,103.00,-11.00
5,2021-06-17,108.28,5.13
6,2021-06-18,111.20,2.70
7,2021-06-21,114.90,3.33
8,2021-06-22,126.90,10.44
9,2021-06-23,135.50,6.78
10,2021-06-24,131.51,-2.94
11,2021-06-25,129.01,-1.90
12,2021-06-28,129.68,0.52
13,2021-06-29,135.60,4.57
14,2021-06-30,139.52,2.89
15,2021-07-01,134.80,-3.38
16,2021-07-02,121.86,-9.60
17,2021-07-05,120.30,-1.28
18,2021-07-06,103.02,-14.36
19,2021-07-07,115.60,12.21
