日期,收盘价,涨跌幅
0,2021-02-04,20.48,-6.14
1,2021-02-05,19.49,-4.83
2,2021-02-08,19.12,-1.90
3,2021-02-09,19.99,4.55
4,2021-02-10,20.52,2.65
5,2021-02-18,20.55,0.15
6,2021-02-19,21.01,2.24
7,2021-02-22,21.09,0.38
8,2021-02-23,21.09,0.00
9,2021-02-24,20.05,-4.93
10,2021-02-25,19.77,-1.40
11,2021-02-26,20.01,1.21
12,2021-03-01,20.86,4.25
13,2021-03-02,21.08,1.05
14,2021-03-03,21.10,0.09
15,2021-03-04,19.91,-5.64
16,2021-03-05,19.79,-0.60
17,2021-03-08,18.61,-5.96
18,2021-03-09,18.29,-1.72
19,2021-03-10,18.24,-0.27
20,2021-03-11,18.69,2.47
21,2021-03-12,18.64,-0.27
22,2021-03-15,18.29,-1.88
23,2021-03-16,18.19,-0.55
24,2021-03-17,18.29,0.55
25,2021-03-18,17.98,-1.69
26,2021-03-19,17.49,-2.73
27,2021-03-22,17.78,1.66
28,2021-03-23,17.12,-3.71
29,2021-03-24,16.73,-2.28
30,2021-03-25,16.71,-0.12
31,2021-03-26,17.25,3.23
32,2021-03-29,17.20,-0.29
33,2021-03-30,17.74,3.14
34,2021-03-31,18.37,3.55
35,2021-04-01,18.77,2.18
36,2021-04-02,18.48,-1.55
37,2021-04-06,18.72,1.30
38,2021-04-07,18.52,-1.07
39,2021-04-08,18.10,-2.27
40,2021-04-09,17.91,-1.05
41,2021-04-12,17.44,-2.62
42,2021-04-13,17.12,-1.83
43,2021-04-14,17.28,0.93
44,2021-04-15,17.34,0.35
45,2021-04-16,17.41,0.40
46,2021-04-19,17.72,1.78
47,2021-04-20,18.07,1.98
48,2021-04-21,17.57,-2.77
49,2021-04-22,17.37,-1.14
50,2021-04-23,17.52,0.86
51,2021-04-26,17.73,1.20
52,2021-04-27,17.08,-3.67
53,2021-04-28,17.08,0.00
54,2021-04-29,16.55,-3.10
55,2021-04-30,16.35,-1.21
56,2021-05-06,16.64,1.77
57,2021-05-07,16.78,0.84
58,2021-05-10,16.16,-3.69
59,2021-05-11,15.71,-2.78
60,2021-05-12,15.59,-0.76
61,2021-05-13,15.41,-1.15
62,2021-05-14,16.18,5.00
63,2021-05-17,16.90,4.45
64,2021-05-18,17.20,1.78
65,2021-05-19,17.03,-0.99
66,2021-05-20,16.93,-0.59
67,2021-05-21,16.99,0.35
68,2021-05-24,16.70,-1.71
69,2021-05-25,16.99,1.74
70,2021-05-26,16.79,-1.18
71,2021-05-27,16.79,0.00
72,2021-05-28,16.98,1.13
73,2021-05-31,18.21,7.24
74,2021-06-01,19.43,6.70
75,2021-06-02,19.10,-1.70
76,2021-06-03,18.30,-4.19
77,2021-06-04,18.18,-0.66
78,2021-06-07,17.16,-5.61
79,2021-06-08,17.38,1.28
80,2021-06-09,17.09,-1.67
81,2021-06-10,19.60,14.69
82,2021-06-11,20.50,4.59
83,2021-06-15,20.97,2.29
84,2021-06-16,19.99,-4.67
85,2021-06-17,20.46,2.35
86,2021-06-18,22.12,8.11
87,2021-06-21,25.10,13.47
88,2021-06-22,24.83,-1.08
89,2021-06-23,25.45,2.50
90,2021-06-24,25.86,1.61
91,2021-06-25,26.70,3.25
92,2021-06-28,28.15,5.43
93,2021-06-29,28.51,1.28
94,2021-06-30,28.35,-0.56
95,2021-07-01,29.72,4.83
96,2021-07-02,30.00,0.94
97,2021-07-05,29.01,-3.30
98,2021-07-06,28.72,-1.00
99,2021-07-07,32.80,14.21
