日期,收盘价,涨跌幅
0,2021-02-04,60.28,-7.74
1,2021-02-05,59.46,-1.36
2,2021-02-08,59.53,0.12
3,2021-02-09,60.90,2.30
4,2021-02-10,60.00,-1.48
5,2021-02-18,61.17,1.95
6,2021-02-19,62.71,2.52
7,2021-02-22,63.51,1.28
8,2021-02-23,62.58,-1.46
9,2021-02-24,60.46,-3.39
10,2021-02-25,61.91,2.40
11,2021-02-26,61.80,-0.18
12,2021-03-01,64.40,4.21
13,2021-03-02,65.23,1.29
14,2021-03-03,65.35,0.18
15,2021-03-04,69.53,6.40
16,2021-03-05,69.95,0.60
17,2021-03-08,71.89,2.77
18,2021-03-09,66.00,-8.19
19,2021-03-10,66.05,0.08
20,2021-03-11,67.40,2.04
21,2021-03-12,69.84,3.62
22,2021-03-15,67.90,-2.78
23,2021-03-16,64.32,-5.27
24,2021-03-17,67.40,4.79
25,2021-03-18,67.13,-0.40
26,2021-03-19,68.07,1.40
27,2021-03-22,67.63,-0.65
28,2021-03-23,66.70,-1.38
29,2021-03-24,64.54,-3.24
30,2021-03-25,63.18,-2.11
31,2021-03-26,63.29,0.17
32,2021-03-29,62.68,-0.96
33,2021-03-30,64.50,2.90
34,2021-03-31,61.60,-4.50
35,2021-04-01,62.29,1.12
36,2021-04-02,64.95,4.27
37,2021-04-06,66.26,2.02
38,2021-04-07,64.41,-2.79
39,2021-04-08,62.68,-2.69
40,2021-04-09,64.89,3.53
41,2021-04-12,63.14,-2.70
42,2021-04-13,62.07,-1.69
43,2021-04-14,62.92,1.37
44,2021-04-15,63.27,0.56
45,2021-04-16,63.53,0.41
46,2021-04-19,66.08,4.01
47,2021-04-20,69.94,5.84
48,2021-04-21,75.08,7.35
49,2021-04-22,79.48,5.86
50,2021-04-23,79.36,-0.15
51,2021-04-26,81.40,2.57
52,2021-04-27,81.80,0.49
53,2021-04-28,80.05,-2.14
54,2021-04-29,79.91,-0.17
55,2021-04-30,82.20,2.87
56,2021-05-06,83.69,1.81
57,2021-05-07,74.59,-10.87
58,2021-05-10,72.49,-2.82
59,2021-05-11,72.02,-0.65
60,2021-05-12,73.58,2.17
61,2021-05-13,71.96,-2.20
62,2021-05-14,74.11,2.99
63,2021-05-17,73.68,-0.58
64,2021-05-18,72.50,-1.60
65,2021-05-19,77.40,6.76
66,2021-05-20,77.10,-0.39
67,2021-05-21,74.10,-3.89
68,2021-05-24,78.71,6.22
69,2021-05-25,79.00,0.37
70,2021-05-26,80.15,1.46
71,2021-05-27,87.50,9.17
72,2021-05-28,84.70,-3.20
73,2021-05-31,93.40,10.27
74,2021-06-01,94.10,0.75
75,2021-06-02,93.55,-0.58
76,2021-06-03,91.97,-1.69
77,2021-06-04,92.80,0.90
78,2021-06-07,90.61,-2.36
79,2021-06-08,92.40,1.98
80,2021-06-09,90.72,-1.82
81,2021-06-10,99.14,9.28
82,2021-06-11,101.30,2.18
83,2021-06-15,104.18,2.84
84,2021-06-16,104.06,-0.12
85,2021-06-17,104.87,0.78
86,2021-06-18,107.66,2.66
87,2021-06-21,111.60,3.66
88,2021-06-22,123.20,10.39
89,2021-06-23,124.00,0.65
90,2021-06-24,124.44,0.35
91,2021-06-25,132.41,6.40
92,2021-06-28,140.95,6.45
93,2021-06-29,140.54,-0.29
94,2021-06-30,148.00,5.31
95,2021-07-01,136.20,-7.97
96,2021-07-02,134.30,-1.40
97,2021-07-05,138.79,3.34
98,2021-07-06,133.00,-4.17
99,2021-07-07,147.18,10.66
