日期,收盘价,涨跌幅
0,2021-02-04,70.25,-4.86
1,2021-02-05,64.61,-8.03
2,2021-02-08,66.98,3.67
3,2021-02-09,66.99,0.01
4,2021-02-10,67.92,1.39
5,2021-02-18,64.14,-5.57
6,2021-02-19,64.80,1.03
7,2021-02-22,62.70,-3.24
8,2021-02-23,60.58,-3.38
9,2021-02-24,58.48,-3.47
10,2021-02-25,58.58,0.17
11,2021-02-26,60.88,3.93
12,2021-03-01,62.03,1.89
13,2021-03-02,59.20,-4.56
14,2021-03-03,61.95,4.65
15,2021-03-04,58.99,-4.78
16,2021-03-05,58.10,-1.51
17,2021-03-08,53.25,-8.35
18,2021-03-09,56.58,6.25
19,2021-03-10,55.50,-1.91
20,2021-03-11,57.33,3.30
21,2021-03-12,60.11,4.85
22,2021-03-15,56.90,-5.34
23,2021-03-16,55.83,-1.88
24,2021-03-17,57.30,2.63
25,2021-03-18,56.38,-1.61
26,2021-03-19,53.05,-5.91
27,2021-03-22,54.20,2.17
28,2021-03-23,52.51,-3.12
29,2021-03-24,52.61,0.19
30,2021-03-25,53.25,1.22
31,2021-03-26,59.15,11.08
32,2021-03-29,57.86,-2.18
33,2021-03-30,57.65,-0.36
34,2021-03-31,57.13,-0.90
35,2021-04-01,57.86,1.28
36,2021-04-02,59.10,2.14
37,2021-04-06,57.00,-3.55
38,2021-04-07,55.15,-3.25
39,2021-04-08,54.15,-1.81
40,2021-04-09,53.76,-0.72
41,2021-04-12,50.35,-6.34
42,2021-04-13,51.40,2.09
43,2021-04-14,54.30,5.64
44,2021-04-15,54.73,0.79
45,2021-04-16,56.80,3.78
46,2021-04-19,60.49,6.50
47,2021-04-20,61.11,1.02
48,2021-04-21,60.12,-1.62
49,2021-04-22,60.45,0.55
50,2021-04-23,61.41,1.59
51,2021-04-26,62.70,2.10
52,2021-04-27,62.33,-0.59
53,2021-04-28,65.00,4.28
54,2021-04-29,64.00,-1.54
55,2021-04-30,69.36,8.38
56,2021-05-06,69.46,0.14
57,2021-05-07,67.77,-2.43
58,2021-05-10,66.15,-2.39
59,2021-05-11,64.50,-2.49
60,2021-05-12,64.90,0.62
61,2021-05-13,65.20,0.46
62,2021-05-14,71.44,9.57
63,2021-05-17,74.00,3.58
64,2021-05-18,72.94,-1.43
65,2021-05-19,76.05,4.26
66,2021-05-20,76.30,0.33
67,2021-05-21,76.30,0.00
68,2021-05-24,78.30,2.62
69,2021-05-25,77.80,-0.64
70,2021-05-26,77.41,-0.50
71,2021-05-27,76.92,-0.63
72,2021-05-28,92.30,19.99
73,2021-05-31,109.78,18.94
74,2021-06-01,107.56,-2.02
75,2021-06-02,105.99,-1.46
76,2021-06-03,109.00,2.84
77,2021-06-04,120.99,11.00
78,2021-06-07,114.40,-5.45
79,2021-06-08,113.70,-0.61
80,2021-06-09,112.90,-0.70
81,2021-06-10,115.00,1.86
82,2021-06-11,109.30,-4.96
83,2021-06-15,106.66,-2.42
84,2021-06-16,95.00,-10.93
85,2021-06-17,101.29,6.62
86,2021-06-18,113.00,11.56
87,2021-06-21,110.53,-2.19
88,2021-06-22,117.00,5.85
89,2021-06-23,117.66,0.56
90,2021-06-24,114.30,-2.86
91,2021-06-25,116.30,1.75
92,2021-06-28,120.60,3.70
93,2021-06-29,125.70,4.23
94,2021-06-30,121.20,-3.58
95,2021-07-01,123.00,1.49
96,2021-07-02,130.93,6.45
97,2021-07-05,130.83,-0.08
98,2021-07-06,117.94,-9.85
99,2021-07-07,141.53,20.00
