日期,收盘价,涨跌幅
0,2021-04-01,35.55,132.96
1,2021-04-02,37.83,6.41
2,2021-04-06,35.15,-7.08
3,2021-04-07,32.82,-6.63
4,2021-04-08,30.53,-6.98
5,2021-04-09,29.85,-2.23
6,2021-04-12,27.66,-7.34
7,2021-04-13,27.34,-1.16
8,2021-04-14,27.80,1.68
9,2021-04-15,27.25,-1.98
10,2021-04-16,28.47,4.48
11,2021-04-19,29.93,5.13
12,2021-04-20,28.49,-4.81
13,2021-04-21,28.23,-0.91
14,2021-04-22,28.61,1.35
15,2021-04-23,28.41,-0.70
16,2021-04-26,28.65,0.84
17,2021-04-27,27.70,-3.32
18,2021-04-28,27.63,-0.25
19,2021-04-29,27.62,-0.04
20,2021-04-30,26.10,-5.50
21,2021-05-06,26.43,1.26
22,2021-05-07,26.72,1.10
23,2021-05-10,30.70,14.90
24,2021-05-11,36.91,20.23
25,2021-05-12,36.83,-0.22
26,2021-05-13,37.65,2.23
27,2021-05-14,45.25,20.19
28,2021-05-17,43.63,-3.58
29,2021-05-18,42.48,-2.64
30,2021-05-19,41.71,-1.81
31,2021-05-20,39.65,-4.94
32,2021-05-21,39.78,0.33
33,2021-05-24,37.25,-6.36
34,2021-05-25,37.65,1.07
35,2021-05-26,38.51,2.28
36,2021-05-27,41.28,7.19
37,2021-05-28,40.65,-1.53
38,2021-05-31,39.94,-1.75
39,2021-06-01,40.13,0.48
40,2021-06-02,37.65,-6.18
41,2021-06-03,35.67,-5.26
42,2021-06-04,36.11,1.23
43,2021-06-07,37.55,3.99
44,2021-06-08,37.01,-1.44
45,2021-06-09,37.12,0.30
46,2021-06-10,39.16,5.50
47,2021-06-11,40.32,2.96
48,2021-06-15,38.41,-4.74
49,2021-06-16,36.87,-4.01
50,2021-06-17,39.80,7.95
51,2021-06-18,37.50,-5.78
52,2021-06-21,37.51,0.03
53,2021-06-22,37.66,0.40
54,2021-06-23,39.00,3.56
55,2021-06-24,38.40,-1.54
56,2021-06-25,38.11,-0.76
57,2021-06-28,38.25,0.37
58,2021-06-29,35.95,-6.01
59,2021-06-30,36.72,2.14
60,2021-07-01,35.90,-2.23
61,2021-07-02,36.85,2.65
62,2021-07-05,37.05,0.54
63,2021-07-06,37.80,2.02
64,2021-07-07,42.00,11.11
