日期,收盘价,涨跌幅
0,2021-02-04,24.79,-10.25
1,2021-02-05,21.76,-12.22
2,2021-02-08,20.37,-6.39
3,2021-02-09,20.31,-0.29
4,2021-02-10,19.65,-3.25
5,2021-02-18,21.06,7.18
6,2021-02-19,21.69,2.99
7,2021-02-22,21.74,0.23
8,2021-02-23,23.20,6.72
9,2021-02-24,24.64,6.21
10,2021-02-25,23.98,-2.68
11,2021-02-26,23.00,-4.09
12,2021-03-01,22.85,-0.65
13,2021-03-02,22.00,-3.72
14,2021-03-03,22.54,2.45
15,2021-03-04,22.43,-0.49
16,2021-03-05,22.43,0.00
17,2021-03-08,23.14,3.17
18,2021-03-09,21.57,-6.78
19,2021-03-10,20.69,-4.08
20,2021-03-11,21.05,1.74
21,2021-03-12,21.21,0.76
22,2021-03-15,20.76,-2.12
23,2021-03-16,20.82,0.29
24,2021-03-17,21.29,2.26
25,2021-03-18,21.72,2.02
26,2021-03-19,21.73,0.05
27,2021-03-22,22.67,4.33
28,2021-03-23,22.79,0.53
29,2021-03-24,23.51,3.16
30,2021-03-25,22.14,-5.83
31,2021-03-26,22.13,-0.05
32,2021-03-29,21.99,-0.63
33,2021-03-30,22.48,2.23
34,2021-03-31,22.44,-0.18
35,2021-04-01,21.83,-2.72
36,2021-04-02,22.34,2.34
37,2021-04-06,22.38,0.18
38,2021-04-07,23.38,4.47
39,2021-04-08,23.22,-0.68
40,2021-04-09,23.71,2.11
41,2021-04-12,23.56,-0.63
42,2021-04-13,22.76,-3.40
43,2021-04-14,23.31,2.42
44,2021-04-15,22.42,-3.82
45,2021-04-16,22.83,1.83
46,2021-04-19,23.90,4.69
47,2021-04-20,23.48,-1.76
48,2021-04-21,23.38,-0.43
49,2021-04-22,22.95,-1.84
50,2021-04-23,22.74,-0.92
51,2021-04-26,22.20,-2.37
52,2021-04-27,21.19,-4.55
53,2021-04-28,21.15,-0.19
54,2021-04-29,21.51,1.70
55,2021-04-30,21.71,0.93
56,2021-05-06,22.09,1.75
57,2021-05-07,21.92,-0.77
58,2021-05-10,22.07,0.68
59,2021-05-11,21.55,-2.36
60,2021-05-12,21.55,0.00
61,2021-05-13,21.19,-1.67
62,2021-05-14,21.52,1.56
63,2021-05-17,21.50,-0.09
64,2021-05-18,21.39,-0.51
65,2021-05-19,21.80,1.92
66,2021-05-20,21.94,0.64
67,2021-05-21,21.67,-1.23
68,2021-05-24,21.69,0.09
69,2021-05-25,21.80,0.51
70,2021-05-26,21.95,0.69
71,2021-05-27,22.20,1.14
72,2021-05-28,21.94,-1.17
73,2021-05-31,22.65,3.24
74,2021-06-01,23.16,2.25
75,2021-06-02,23.70,2.33
76,2021-06-03,22.82,-3.71
77,2021-06-04,22.91,0.39
78,2021-06-07,22.85,-0.26
79,2021-06-08,22.41,-1.93
80,2021-06-09,22.61,0.89
81,2021-06-10,22.90,1.28
82,2021-06-11,22.49,-1.79
83,2021-06-15,22.20,-1.29
84,2021-06-16,21.71,-2.21
85,2021-06-17,21.89,0.83
86,2021-06-18,21.95,0.27
87,2021-06-21,22.24,1.32
88,2021-06-22,22.73,2.20
89,2021-06-23,22.93,0.88
90,2021-06-24,23.06,0.57
91,2021-06-25,22.70,-1.56
92,2021-06-28,22.72,0.09
93,2021-06-29,22.26,-2.02
94,2021-06-30,22.82,2.52
95,2021-07-01,22.51,-1.36
96,2021-07-02,22.05,-2.04
97,2021-07-05,23.37,5.99
98,2021-07-06,23.46,0.39
99,2021-07-07,26.30,12.11
