日期,收盘价,涨跌幅
0,2021-02-04,50.34,-14.31
1,2021-02-05,40.06,-20.42
2,2021-02-08,35.47,-11.46
3,2021-02-09,35.11,-1.01
4,2021-02-10,34.96,-0.43
5,2021-02-18,35.72,2.17
6,2021-02-19,35.58,-0.39
7,2021-02-22,35.51,-0.20
8,2021-02-23,41.66,17.32
9,2021-02-24,39.32,-5.62
10,2021-02-25,37.77,-3.94
11,2021-02-26,36.17,-4.24
12,2021-03-01,36.95,2.16
13,2021-03-02,35.87,-2.92
14,2021-03-03,36.15,0.78
15,2021-03-04,34.91,-3.43
16,2021-03-05,35.56,1.86
17,2021-03-08,36.46,2.53
18,2021-03-09,35.21,-3.43
19,2021-03-10,34.36,-2.41
20,2021-03-11,34.16,-0.58
21,2021-03-12,34.20,0.12
22,2021-03-15,33.19,-2.95
23,2021-03-16,31.72,-4.43
24,2021-03-17,32.26,1.70
25,2021-03-18,31.96,-0.93
26,2021-03-19,32.56,1.88
27,2021-03-22,32.89,1.01
28,2021-03-23,32.54,-1.06
29,2021-03-24,31.91,-1.94
30,2021-03-25,31.05,-2.70
31,2021-03-26,31.34,0.93
32,2021-03-29,31.47,0.41
33,2021-03-30,30.56,-2.89
34,2021-03-31,30.63,0.23
35,2021-04-01,30.72,0.29
36,2021-04-02,30.86,0.46
37,2021-04-06,30.88,0.06
38,2021-04-07,31.42,1.75
39,2021-04-08,32.00,1.85
40,2021-04-09,32.72,2.25
41,2021-04-12,31.94,-2.38
42,2021-04-13,31.66,-0.88
43,2021-04-14,31.91,0.79
44,2021-04-15,31.93,0.06
45,2021-04-16,37.65,17.91
46,2021-04-19,39.55,5.05
47,2021-04-20,37.81,-4.40
48,2021-04-21,41.01,8.46
49,2021-04-22,42.12,2.71
50,2021-04-23,41.36,-1.80
51,2021-04-26,39.96,-3.38
52,2021-04-27,41.42,3.65
53,2021-04-28,41.02,-0.97
54,2021-04-29,39.25,-4.31
55,2021-04-30,41.63,6.06
56,2021-05-06,40.15,-3.56
57,2021-05-07,35.26,-12.18
58,2021-05-10,35.57,0.88
59,2021-05-11,35.65,0.22
60,2021-05-12,36.17,1.46
61,2021-05-13,37.18,2.79
62,2021-05-14,44.68,20.17
63,2021-05-17,46.77,4.68
64,2021-05-18,44.49,-4.87
65,2021-05-19,46.81,5.21
66,2021-05-20,45.96,-1.82
67,2021-05-21,46.26,0.65
68,2021-05-24,45.66,-1.30
69,2021-05-25,48.31,5.80
70,2021-05-26,46.85,-3.02
71,2021-05-27,46.54,-0.66
72,2021-05-28,47.65,2.39
73,2021-05-31,52.06,9.25
74,2021-06-01,52.53,0.90
75,2021-06-02,51.67,-1.64
76,2021-06-03,48.96,-5.24
77,2021-06-04,47.36,-3.27
78,2021-06-07,46.59,-1.63
79,2021-06-08,44.65,-4.16
80,2021-06-09,43.64,-2.26
81,2021-06-10,43.54,-0.23
82,2021-06-11,44.37,1.91
83,2021-06-15,41.56,-6.33
84,2021-06-16,41.61,0.12
85,2021-06-17,42.69,2.60
86,2021-06-18,43.47,1.83
87,2021-06-21,45.51,4.69
88,2021-06-22,44.84,-1.47
89,2021-06-23,43.85,-2.21
90,2021-06-24,43.16,-1.57
91,2021-06-25,42.08,-2.50
92,2021-06-28,44.54,5.85
93,2021-06-29,46.82,5.12
94,2021-06-30,45.96,-1.84
95,2021-07-01,45.21,-1.63
96,2021-07-02,45.08,-0.29
97,2021-07-05,52.74,16.99
98,2021-07-06,49.42,-6.30
99,2021-07-07,55.70,12.71
