日期,收盘价,涨跌幅
0,2021-02-04,33.33,-2.69
1,2021-02-05,35.43,6.30
2,2021-02-08,34.01,-4.01
3,2021-02-09,36.27,6.65
4,2021-02-10,40.13,10.64
5,2021-02-18,38.84,-3.21
6,2021-02-19,39.22,0.98
7,2021-02-22,34.27,-12.62
8,2021-02-23,35.35,3.15
9,2021-02-24,35.30,-0.14
10,2021-02-25,34.13,-3.31
11,2021-02-26,35.33,3.52
12,2021-03-01,35.24,-0.25
13,2021-03-02,34.35,-2.53
14,2021-03-03,34.00,-1.02
15,2021-03-04,32.99,-2.97
16,2021-03-05,32.86,-0.39
17,2021-03-08,30.62,-6.82
18,2021-03-09,29.43,-3.89
19,2021-03-10,29.35,-0.27
20,2021-03-11,29.86,1.74
21,2021-03-12,29.89,0.10
22,2021-03-15,28.71,-3.95
23,2021-03-16,29.30,2.06
24,2021-03-17,29.00,-1.02
25,2021-03-18,31.13,7.34
26,2021-03-19,29.72,-4.53
27,2021-03-22,29.80,0.27
28,2021-03-23,28.27,-5.13
29,2021-03-24,27.29,-3.47
30,2021-03-25,27.20,-0.33
31,2021-03-26,27.64,1.62
32,2021-03-29,27.92,1.01
33,2021-03-30,27.03,-3.19
34,2021-03-31,26.85,-0.67
35,2021-04-01,27.88,3.84
36,2021-04-02,27.80,-0.29
37,2021-04-06,29.27,5.29
38,2021-04-07,28.78,-1.67
39,2021-04-08,29.04,0.90
40,2021-04-09,28.94,-0.34
41,2021-04-12,26.40,-8.78
42,2021-04-13,26.27,-0.49
43,2021-04-14,26.22,-0.19
44,2021-04-15,27.01,3.01
45,2021-04-16,28.01,3.70
46,2021-04-19,26.32,-6.03
47,2021-04-20,25.12,-4.56
48,2021-04-21,24.79,-1.31
49,2021-04-22,24.95,0.65
50,2021-04-23,24.49,-1.84
51,2021-04-26,25.75,5.14
52,2021-04-27,25.38,-1.44
53,2021-04-28,26.26,3.47
54,2021-04-29,24.99,-4.84
55,2021-04-30,24.50,-1.96
56,2021-05-06,23.39,-4.53
57,2021-05-07,23.39,0.00
58,2021-05-10,22.77,-2.65
59,2021-05-11,22.55,-0.97
60,2021-05-12,22.80,1.11
61,2021-05-13,23.75,4.17
62,2021-05-14,24.36,2.57
63,2021-05-17,26.31,8.00
64,2021-05-18,28.19,7.15
65,2021-05-19,27.60,-2.09
66,2021-05-20,27.59,-0.04
67,2021-05-21,27.28,-1.12
68,2021-05-24,26.38,-3.30
69,2021-05-25,29.90,13.34
70,2021-05-26,30.26,1.20
71,2021-05-27,29.71,-1.82
72,2021-05-28,29.90,0.64
73,2021-05-31,31.33,4.78
74,2021-06-01,31.30,-0.10
75,2021-06-02,29.99,-4.19
76,2021-06-03,27.88,-7.04
77,2021-06-04,28.81,3.34
78,2021-06-07,28.90,0.31
79,2021-06-08,29.01,0.38
80,2021-06-09,28.69,-1.10
81,2021-06-10,29.91,4.25
82,2021-06-11,28.38,-5.12
83,2021-06-15,27.70,-2.40
84,2021-06-16,26.90,-2.89
85,2021-06-17,26.11,-2.94
86,2021-06-18,26.23,0.46
87,2021-06-21,27.09,3.28
88,2021-06-22,27.38,1.07
89,2021-06-23,27.93,2.01
90,2021-06-24,25.68,-8.06
91,2021-06-25,26.02,1.32
92,2021-06-28,29.26,12.45
93,2021-06-29,29.26,0.00
94,2021-06-30,29.50,0.82
95,2021-07-01,30.30,2.71
96,2021-07-02,29.50,-2.64
97,2021-07-05,29.55,0.17
98,2021-07-06,27.44,-7.14
99,2021-07-07,30.11,9.73
