日期,收盘价,涨跌幅
0,2021-02-04,109.97,-2.82
1,2021-02-05,116.29,5.75
2,2021-02-08,116.90,0.52
3,2021-02-09,132.00,12.92
4,2021-02-10,134.20,1.67
5,2021-02-18,129.20,-3.73
6,2021-02-19,121.83,-5.70
7,2021-02-22,130.90,7.44
8,2021-02-23,143.20,9.40
9,2021-02-24,134.65,-5.97
10,2021-02-25,131.40,-2.41
11,2021-02-26,112.52,-14.37
12,2021-03-01,110.80,-1.53
13,2021-03-02,107.29,-3.17
14,2021-03-03,110.87,3.34
15,2021-03-04,107.80,-2.77
16,2021-03-05,109.15,1.25
17,2021-03-08,102.07,-6.49
18,2021-03-09,97.51,-4.47
19,2021-03-10,97.01,-0.51
20,2021-03-11,102.00,5.14
21,2021-03-12,98.33,-3.60
22,2021-03-15,94.68,-3.71
23,2021-03-16,96.49,1.91
24,2021-03-17,97.60,1.15
25,2021-03-18,102.30,4.82
26,2021-03-19,102.30,0.00
27,2021-03-22,103.59,1.26
28,2021-03-23,104.13,0.52
29,2021-03-24,102.00,-2.05
30,2021-03-25,100.45,-1.52
31,2021-03-26,105.19,4.72
32,2021-03-29,113.23,7.64
33,2021-03-30,114.35,0.99
34,2021-03-31,111.20,-2.75
35,2021-04-01,114.05,2.56
36,2021-04-02,115.50,1.27
37,2021-04-06,114.35,-1.00
38,2021-04-07,113.50,-0.74
39,2021-04-08,120.10,5.81
40,2021-04-09,119.92,-0.15
41,2021-04-12,112.21,-6.43
42,2021-04-13,115.55,2.98
43,2021-04-14,118.99,2.98
44,2021-04-15,116.58,-2.03
45,2021-04-16,114.70,-1.61
46,2021-04-19,121.64,6.05
47,2021-04-20,125.61,3.26
48,2021-04-21,129.05,2.74
49,2021-04-22,130.70,1.28
50,2021-04-23,128.80,-1.45
51,2021-04-26,129.66,0.67
52,2021-04-27,132.01,1.81
53,2021-04-28,134.01,1.52
54,2021-04-29,129.28,-3.53
55,2021-04-30,135.99,5.19
56,2021-05-06,133.89,-1.54
57,2021-05-07,125.09,-6.57
58,2021-05-10,126.44,1.08
59,2021-05-11,127.85,1.12
60,2021-05-12,132.82,3.89
61,2021-05-13,137.10,3.22
62,2021-05-14,138.50,1.02
63,2021-05-17,152.05,9.78
64,2021-05-18,160.84,5.78
65,2021-05-19,162.58,1.08
66,2021-05-20,157.41,-3.18
67,2021-05-21,150.19,-4.59
68,2021-05-24,155.99,3.86
69,2021-05-25,166.99,7.05
70,2021-05-26,165.30,-1.01
71,2021-05-27,181.13,9.58
72,2021-05-28,183.80,1.47
73,2021-05-31,202.98,10.44
74,2021-06-01,208.91,2.92
75,2021-06-02,177.25,-15.15
76,2021-06-03,168.95,-4.68
77,2021-06-04,170.88,1.14
78,2021-06-07,161.88,-5.27
79,2021-06-08,159.46,-1.49
80,2021-06-09,162.80,2.09
81,2021-06-10,162.37,-0.26
82,2021-06-11,159.90,-1.52
83,2021-06-15,158.07,-1.14
84,2021-06-16,151.59,-4.10
85,2021-06-17,155.36,2.49
86,2021-06-18,164.30,5.75
87,2021-06-21,171.19,4.19
88,2021-06-22,168.35,-1.66
89,2021-06-23,165.80,-1.51
90,2021-06-24,154.20,-7.00
91,2021-06-25,167.70,8.75
92,2021-06-28,201.24,20.00
93,2021-06-29,219.00,8.83
94,2021-06-30,209.30,-4.43
95,2021-07-01,239.19,14.28
96,2021-07-02,236.80,-1.00
97,2021-07-05,250.99,5.99
98,2021-07-06,225.06,-10.33
99,2021-07-07,270.07,20.00
