日期,收盘价,涨跌幅
0,2021-02-04,38.46,-1.54
1,2021-02-05,36.39,-5.38
2,2021-02-08,37.36,2.67
3,2021-02-09,41.15,10.14
4,2021-02-10,40.47,-1.65
5,2021-02-18,41.76,3.19
6,2021-02-19,41.58,-0.43
7,2021-02-22,39.98,-3.85
8,2021-02-23,40.22,0.60
9,2021-02-24,39.59,-1.57
10,2021-02-25,39.70,0.28
11,2021-02-26,38.59,-2.80
12,2021-03-01,40.30,4.43
13,2021-03-02,40.56,0.65
14,2021-03-03,39.43,-2.79
15,2021-03-04,36.74,-6.82
16,2021-03-05,37.02,0.76
17,2021-03-08,35.69,-3.59
18,2021-03-09,33.74,-5.46
19,2021-03-10,33.82,0.24
20,2021-03-11,33.78,-0.12
21,2021-03-12,33.25,-1.57
22,2021-03-15,32.61,-1.92
23,2021-03-16,32.95,1.04
24,2021-03-17,33.78,2.52
25,2021-03-18,33.58,-0.59
26,2021-03-19,33.86,0.83
27,2021-03-22,34.52,1.95
28,2021-03-23,35.12,1.74
29,2021-03-24,34.12,-2.85
30,2021-03-25,33.70,-1.23
31,2021-03-26,33.89,0.56
32,2021-03-29,33.21,-2.01
33,2021-03-30,32.09,-3.37
34,2021-03-31,31.72,-1.15
35,2021-04-01,32.10,1.20
36,2021-04-02,32.80,2.18
37,2021-04-06,33.34,1.65
38,2021-04-07,33.33,-0.03
39,2021-04-08,33.08,-0.75
40,2021-04-09,32.39,-2.09
41,2021-04-12,31.49,-2.78
42,2021-04-13,30.99,-1.59
43,2021-04-14,31.26,0.87
44,2021-04-15,31.36,0.32
45,2021-04-16,32.11,2.39
46,2021-04-19,33.45,4.17
47,2021-04-20,33.09,-1.08
48,2021-04-21,33.03,-0.18
49,2021-04-22,33.80,2.33
50,2021-04-23,33.09,-2.10
51,2021-04-26,32.71,-1.15
52,2021-04-27,32.23,-1.47
53,2021-04-28,32.61,1.18
54,2021-04-29,34.50,5.80
55,2021-04-30,33.38,-3.25
56,2021-05-06,34.40,3.06
57,2021-05-07,32.84,-4.53
58,2021-05-10,32.45,-1.19
59,2021-05-11,33.36,2.80
60,2021-05-12,32.52,-2.52
61,2021-05-13,32.33,-0.58
62,2021-05-14,33.28,2.94
63,2021-05-17,32.98,-0.90
64,2021-05-18,33.07,0.27
65,2021-05-19,33.34,0.82
66,2021-05-20,34.10,2.28
67,2021-05-21,33.56,-1.58
68,2021-05-24,35.46,5.66
69,2021-05-25,37.42,5.53
70,2021-05-26,37.61,0.51
71,2021-05-27,37.42,-0.51
72,2021-05-28,37.62,0.53
73,2021-05-31,38.50,2.34
74,2021-06-01,39.04,1.40
75,2021-06-02,40.21,3.00
76,2021-06-03,38.38,-4.55
77,2021-06-04,38.53,0.39
78,2021-06-07,38.58,0.13
79,2021-06-08,37.75,-2.15
80,2021-06-09,37.16,-1.56
81,2021-06-10,38.70,4.14
82,2021-06-11,37.03,-4.32
83,2021-06-15,36.99,-0.11
84,2021-06-16,36.13,-2.32
85,2021-06-17,36.95,2.27
86,2021-06-18,36.51,-1.19
87,2021-06-21,38.15,4.49
88,2021-06-22,40.31,5.66
89,2021-06-23,40.70,0.97
90,2021-06-24,40.48,-0.54
91,2021-06-25,40.11,-0.91
92,2021-06-28,41.88,4.41
93,2021-06-29,40.36,-3.63
94,2021-06-30,41.99,4.04
95,2021-07-01,40.31,-4.00
96,2021-07-02,39.06,-3.10
97,2021-07-05,40.02,2.46
98,2021-07-06,44.70,11.69
99,2021-07-07,48.71,8.97
