日期,收盘价,涨跌幅
0,2021-02-04,128.16,-1.70
1,2021-02-05,131.59,2.68
2,2021-02-08,136.19,3.50
3,2021-02-09,136.39,0.15
4,2021-02-10,151.59,11.14
5,2021-02-18,135.82,-10.40
6,2021-02-19,128.59,-5.32
7,2021-02-22,131.59,2.33
8,2021-02-23,137.67,4.62
9,2021-02-24,126.57,-8.06
10,2021-02-25,134.52,6.28
11,2021-02-26,130.58,-2.93
12,2021-03-01,126.19,-3.36
13,2021-03-02,127.80,1.28
14,2021-03-03,133.37,4.36
15,2021-03-04,136.37,2.25
16,2021-03-05,140.59,3.09
17,2021-03-08,135.82,-3.39
18,2021-03-09,133.62,-1.62
19,2021-03-10,134.79,0.88
20,2021-03-11,134.66,-0.10
21,2021-03-12,142.65,5.93
22,2021-03-15,136.01,-4.65
23,2021-03-16,136.41,0.29
24,2021-03-17,139.59,2.33
25,2021-03-18,139.39,-0.14
26,2021-03-19,140.09,0.50
27,2021-03-22,145.59,3.93
28,2021-03-23,153.08,5.14
29,2021-03-24,145.06,-5.24
30,2021-03-25,140.51,-3.14
31,2021-03-26,144.08,2.54
32,2021-03-29,141.03,-2.12
33,2021-03-30,140.80,-0.16
34,2021-03-31,140.21,-0.42
35,2021-04-01,140.39,0.13
36,2021-04-02,143.50,2.22
37,2021-04-06,144.59,0.76
38,2021-04-07,159.99,10.65
39,2021-04-08,165.77,3.61
40,2021-04-09,168.70,1.77
41,2021-04-12,167.57,-0.67
42,2021-04-13,165.89,-1.00
43,2021-04-14,162.80,-1.86
44,2021-04-15,162.12,-0.42
45,2021-04-16,158.04,-2.52
46,2021-04-19,164.46,4.06
47,2021-04-20,163.83,-0.38
48,2021-04-21,175.62,7.20
49,2021-04-22,175.67,0.03
50,2021-04-23,176.55,0.50
51,2021-04-26,173.44,-1.76
52,2021-04-27,178.03,2.65
53,2021-04-28,178.89,0.48
54,2021-04-29,183.66,2.67
55,2021-04-30,177.54,-3.33
56,2021-05-06,173.79,-2.11
57,2021-05-07,164.59,-5.29
58,2021-05-10,171.25,4.05
59,2021-05-11,165.69,-3.25
60,2021-05-12,188.59,13.82
61,2021-05-13,182.07,-3.46
62,2021-05-14,181.59,-0.26
63,2021-05-17,188.03,3.55
64,2021-05-18,188.16,0.07
65,2021-05-19,199.35,5.95
66,2021-05-20,203.79,2.23
67,2021-05-21,207.59,1.86
68,2021-05-24,225.02,8.40
69,2021-05-25,216.62,-3.73
70,2021-05-26,214.59,-0.94
71,2021-05-27,225.57,5.12
72,2021-05-28,214.18,-5.05
73,2021-05-31,226.40,5.71
74,2021-06-01,234.11,3.41
75,2021-06-02,201.55,-13.91
76,2021-06-03,207.58,2.99
77,2021-06-04,220.00,5.98
78,2021-06-07,230.76,4.89
79,2021-06-08,223.38,-3.20
80,2021-06-09,227.60,1.89
81,2021-06-10,231.77,1.83
82,2021-06-11,243.87,5.22
83,2021-06-15,248.00,1.69
84,2021-06-16,244.39,-1.46
85,2021-06-17,264.29,8.14
86,2021-06-18,268.18,1.47
87,2021-06-21,283.50,5.71
88,2021-06-22,297.50,4.94
89,2021-06-23,295.00,-0.84
90,2021-06-24,288.40,-2.24
91,2021-06-25,292.89,1.56
92,2021-06-28,316.50,8.06
93,2021-06-29,313.00,-1.11
94,2021-06-30,317.87,1.56
95,2021-07-01,328.00,3.19
96,2021-07-02,304.16,-7.27
97,2021-07-05,323.91,6.49
98,2021-07-06,275.06,-15.08
99,2021-07-07,305.18,10.95
