日期,收盘价,涨跌幅
0,2021-02-04,208.75,-0.65
1,2021-02-05,182.00,-12.81
2,2021-02-08,170.87,-6.12
3,2021-02-09,183.00,7.10
4,2021-02-10,175.08,-4.33
5,2021-02-18,175.72,0.37
6,2021-02-19,168.75,-3.97
7,2021-02-22,159.81,-5.30
8,2021-02-23,162.38,1.61
9,2021-02-24,152.05,-6.36
10,2021-02-25,147.78,-2.81
11,2021-02-26,146.18,-1.08
12,2021-03-01,156.30,6.92
13,2021-03-02,157.00,0.45
14,2021-03-03,178.06,13.41
15,2021-03-04,171.00,-3.96
16,2021-03-05,169.24,-1.03
17,2021-03-08,154.34,-8.80
18,2021-03-09,155.00,0.43
19,2021-03-10,157.00,1.29
20,2021-03-11,167.90,6.94
21,2021-03-12,181.85,8.31
22,2021-03-15,166.99,-8.17
23,2021-03-16,166.60,-0.23
24,2021-03-17,168.73,1.28
25,2021-03-18,166.49,-1.33
26,2021-03-19,160.21,-3.77
27,2021-03-22,168.49,5.17
28,2021-03-23,161.52,-4.14
29,2021-03-24,149.79,-7.26
30,2021-03-25,152.00,1.48
31,2021-03-26,157.13,3.38
32,2021-03-29,156.96,-0.11
33,2021-03-30,162.10,3.27
34,2021-03-31,158.15,-2.44
35,2021-04-01,160.83,1.69
36,2021-04-02,161.96,0.70
37,2021-04-06,169.33,4.55
38,2021-04-07,167.11,-1.31
39,2021-04-08,168.41,0.78
40,2021-04-09,159.00,-5.59
41,2021-04-12,153.54,-3.43
42,2021-04-13,152.02,-0.99
43,2021-04-14,154.51,1.64
44,2021-04-15,151.02,-2.26
45,2021-04-16,150.28,-0.49
46,2021-04-19,154.93,3.09
47,2021-04-20,167.30,7.98
48,2021-04-21,165.51,-1.07
49,2021-04-22,170.34,2.92
50,2021-04-23,178.12,4.57
51,2021-04-26,184.11,3.36
52,2021-04-27,184.00,-0.06
53,2021-04-28,158.99,-13.59
54,2021-04-29,151.35,-4.81
55,2021-04-30,156.32,3.28
56,2021-05-06,151.59,-3.03
57,2021-05-07,152.00,0.27
58,2021-05-10,147.70,-2.83
59,2021-05-11,150.74,2.06
60,2021-05-12,151.56,0.54
61,2021-05-13,149.00,-1.69
62,2021-05-14,148.19,-0.54
63,2021-05-17,153.59,3.64
64,2021-05-18,151.46,-1.39
65,2021-05-19,158.72,4.79
66,2021-05-20,158.30,-0.26
67,2021-05-21,163.99,3.59
68,2021-05-24,165.01,0.62
69,2021-05-25,164.97,-0.02
70,2021-05-26,160.90,-2.47
71,2021-05-27,163.22,1.44
72,2021-05-28,164.96,1.07
73,2021-05-31,173.78,5.35
74,2021-06-01,171.02,-1.59
75,2021-06-02,169.50,-0.89
76,2021-06-03,164.11,-3.18
77,2021-06-04,166.66,1.55
78,2021-06-07,161.90,-2.86
79,2021-06-08,162.00,0.06
80,2021-06-09,155.00,-4.32
81,2021-06-10,161.43,4.15
82,2021-06-11,164.29,1.77
83,2021-06-15,161.57,-1.66
84,2021-06-16,151.97,-5.94
85,2021-06-17,153.50,1.01
86,2021-06-18,158.18,3.05
87,2021-06-21,164.13,3.76
88,2021-06-22,162.85,-0.78
89,2021-06-23,164.39,0.95
90,2021-06-24,169.98,3.40
91,2021-06-25,181.60,6.84
92,2021-06-28,201.15,10.77
93,2021-06-29,202.33,0.59
94,2021-06-30,196.80,-2.73
95,2021-07-01,183.45,-6.78
96,2021-07-02,185.00,0.84
97,2021-07-05,188.71,2.01
98,2021-07-06,192.89,2.22
99,2021-07-07,218.55,13.30
