日期,收盘价,涨跌幅
0,2021-02-04,76.22,4.20
1,2021-02-05,76.73,0.67
2,2021-02-08,76.70,-0.04
3,2021-02-09,75.16,-2.01
4,2021-02-10,76.20,1.38
5,2021-02-18,77.13,1.22
6,2021-02-19,83.78,8.62
7,2021-02-22,89.15,6.41
8,2021-02-23,88.81,-0.38
9,2021-02-24,89.28,0.53
10,2021-02-25,89.50,0.25
11,2021-02-26,86.30,-3.58
12,2021-03-01,101.41,17.51
13,2021-03-02,89.68,-11.57
14,2021-03-03,89.58,-0.11
15,2021-03-04,86.28,-3.68
16,2021-03-05,83.77,-2.91
17,2021-03-08,78.20,-6.65
18,2021-03-09,77.50,-0.90
19,2021-03-10,73.64,-4.98
20,2021-03-11,74.90,1.71
21,2021-03-12,74.90,0.00
22,2021-03-15,71.88,-4.03
23,2021-03-16,74.00,2.95
24,2021-03-17,74.68,0.92
25,2021-03-18,78.30,4.85
26,2021-03-19,77.15,-1.47
27,2021-03-22,75.51,-2.13
28,2021-03-23,72.70,-3.72
29,2021-03-24,63.55,-12.59
30,2021-03-25,69.47,9.32
31,2021-03-26,67.80,-2.40
32,2021-03-29,65.32,-3.66
33,2021-03-30,63.30,-3.09
34,2021-03-31,64.66,2.15
35,2021-04-01,65.67,1.56
36,2021-04-02,67.04,2.09
37,2021-04-06,68.69,2.46
38,2021-04-07,68.20,-0.71
39,2021-04-08,69.29,1.60
40,2021-04-09,68.68,-0.88
41,2021-04-12,65.42,-4.75
42,2021-04-13,65.70,0.43
43,2021-04-14,69.70,6.09
44,2021-04-15,66.41,-4.72
45,2021-04-16,66.62,0.32
46,2021-04-19,67.04,0.63
47,2021-04-20,69.11,3.09
48,2021-04-21,74.22,7.39
49,2021-04-22,74.00,-0.30
50,2021-04-23,79.17,6.99
51,2021-04-26,78.63,-0.68
52,2021-04-27,79.11,0.61
53,2021-04-28,81.03,2.43
54,2021-04-29,77.65,-4.17
55,2021-04-30,78.25,0.77
56,2021-05-06,75.50,-3.51
57,2021-05-07,73.35,-2.85
58,2021-05-10,71.52,-2.49
59,2021-05-11,72.22,0.98
60,2021-05-12,69.02,-4.43
61,2021-05-13,72.36,4.84
62,2021-05-14,74.45,2.89
63,2021-05-17,76.91,3.30
64,2021-05-18,75.78,-1.47
65,2021-05-19,75.78,0.00
66,2021-05-20,80.70,6.49
67,2021-05-21,81.38,0.84
68,2021-05-24,79.26,-2.61
69,2021-05-25,78.89,-0.47
70,2021-05-26,83.30,5.59
71,2021-05-27,82.88,-0.50
72,2021-05-28,86.68,4.58
73,2021-05-31,88.96,2.63
74,2021-06-01,88.25,-0.80
75,2021-06-02,86.10,-2.44
76,2021-06-03,85.47,-0.73
77,2021-06-04,84.03,-1.68
78,2021-06-07,88.19,4.95
79,2021-06-08,83.71,-5.08
80,2021-06-09,81.90,-2.16
81,2021-06-10,83.36,1.78
82,2021-06-11,79.50,-4.63
83,2021-06-15,80.00,0.63
84,2021-06-16,76.60,-4.25
85,2021-06-17,76.68,0.10
86,2021-06-18,78.33,2.15
87,2021-06-21,81.55,4.11
88,2021-06-22,77.30,-5.21
89,2021-06-23,76.30,-1.29
90,2021-06-24,70.50,-7.60
91,2021-06-25,72.09,2.26
92,2021-06-28,75.00,4.04
93,2021-06-29,71.85,-4.20
94,2021-06-30,74.37,3.51
95,2021-07-01,75.70,1.79
96,2021-07-02,77.00,1.72
97,2021-07-05,81.27,5.55
98,2021-07-06,78.70,-3.16
99,2021-07-07,85.55,8.70
