日期,收盘价,涨跌幅
0,2021-02-04,150.29,-9.46
1,2021-02-05,150.54,0.17
2,2021-02-08,153.58,2.02
3,2021-02-09,159.97,4.16
4,2021-02-10,160.00,0.02
5,2021-02-18,145.12,-9.30
6,2021-02-19,141.88,-2.23
7,2021-02-22,141.77,-0.08
8,2021-02-23,152.28,7.41
9,2021-02-24,150.00,-1.50
10,2021-02-25,143.74,-4.17
11,2021-02-26,149.91,4.29
12,2021-03-01,150.00,0.06
13,2021-03-02,153.90,2.60
14,2021-03-03,162.00,5.26
15,2021-03-04,148.61,-8.27
16,2021-03-05,147.00,-1.08
17,2021-03-08,140.00,-4.76
18,2021-03-09,136.01,-2.85
19,2021-03-10,137.80,1.32
20,2021-03-11,140.78,2.16
21,2021-03-12,141.78,0.71
22,2021-03-15,128.80,-9.16
23,2021-03-16,117.80,-8.54
24,2021-03-17,115.47,-1.98
25,2021-03-18,112.60,-2.49
26,2021-03-19,113.36,0.67
27,2021-03-22,115.80,2.15
28,2021-03-23,112.00,-3.28
29,2021-03-24,110.49,-1.35
30,2021-03-25,107.61,-2.61
31,2021-03-26,110.86,3.02
32,2021-03-29,112.69,1.65
33,2021-03-30,119.10,5.69
34,2021-03-31,116.56,-2.13
35,2021-04-01,118.21,1.42
36,2021-04-02,118.82,0.52
37,2021-04-06,119.42,0.50
38,2021-04-07,121.55,1.78
39,2021-04-08,122.00,0.37
40,2021-04-09,114.60,-6.07
41,2021-04-12,107.57,-6.13
42,2021-04-13,106.58,-0.92
43,2021-04-14,107.94,1.28
44,2021-04-15,106.94,-0.93
45,2021-04-16,107.85,0.85
46,2021-04-19,112.64,4.44
47,2021-04-20,116.70,3.60
48,2021-04-21,118.15,1.24
49,2021-04-22,117.13,-0.86
50,2021-04-23,123.21,5.19
51,2021-04-26,130.80,6.16
52,2021-04-27,130.00,-0.61
53,2021-04-28,137.05,5.42
54,2021-04-29,141.22,3.04
55,2021-04-30,142.32,0.78
56,2021-05-06,140.00,-1.63
57,2021-05-07,138.22,-1.27
58,2021-05-10,139.00,0.56
59,2021-05-11,128.75,-7.37
60,2021-05-12,140.15,8.85
61,2021-05-13,133.11,-5.02
62,2021-05-14,136.56,2.59
63,2021-05-17,146.00,6.91
64,2021-05-18,150.50,3.08
65,2021-05-19,152.75,1.50
66,2021-05-20,151.86,-0.58
67,2021-05-21,159.33,4.92
68,2021-05-24,159.18,-0.09
69,2021-05-25,152.50,-4.20
70,2021-05-26,153.02,0.34
71,2021-05-27,152.96,-0.04
72,2021-05-28,159.05,3.98
73,2021-05-31,166.47,4.67
74,2021-06-01,163.37,-1.86
75,2021-06-02,156.84,-4.00
76,2021-06-03,156.81,-0.02
77,2021-06-04,156.44,-0.24
78,2021-06-07,143.05,-8.56
79,2021-06-08,140.98,-1.45
80,2021-06-09,142.56,1.12
81,2021-06-10,161.00,12.93
82,2021-06-11,173.99,8.07
83,2021-06-15,184.20,5.87
84,2021-06-16,172.58,-6.31
85,2021-06-17,179.00,3.72
86,2021-06-18,187.41,4.70
87,2021-06-21,197.35,5.30
88,2021-06-22,201.40,2.05
89,2021-06-23,198.21,-1.58
90,2021-06-24,194.59,-1.83
91,2021-06-25,204.50,5.09
92,2021-06-28,209.40,2.40
93,2021-06-29,251.28,20.00
94,2021-06-30,257.00,2.28
95,2021-07-01,247.66,-3.63
96,2021-07-02,248.00,0.14
97,2021-07-05,249.88,0.76
98,2021-07-06,232.00,-7.16
99,2021-07-07,273.45,17.87
