日期,收盘价,涨跌幅
0,2021-03-09,51.90,220.57
1,2021-03-10,39.96,-23.01
2,2021-03-11,37.52,-6.11
3,2021-03-12,34.91,-6.96
4,2021-03-15,33.43,-4.24
5,2021-03-16,32.26,-3.50
6,2021-03-17,33.30,3.22
7,2021-03-18,31.93,-4.11
8,2021-03-19,31.97,0.13
9,2021-03-22,32.71,2.31
10,2021-03-23,31.38,-4.07
11,2021-03-24,30.42,-3.06
12,2021-03-25,30.62,0.66
13,2021-03-26,30.62,0.00
14,2021-03-29,29.88,-2.42
15,2021-03-30,29.96,0.27
16,2021-03-31,29.59,-1.23
17,2021-04-01,30.36,2.60
18,2021-04-02,31.50,3.75
19,2021-04-06,31.15,-1.11
20,2021-04-07,31.41,0.83
21,2021-04-08,30.60,-2.58
22,2021-04-09,30.26,-1.11
23,2021-04-12,30.45,0.63
24,2021-04-13,29.13,-4.33
25,2021-04-14,29.54,1.41
26,2021-04-15,29.51,-0.10
27,2021-04-16,31.02,5.12
28,2021-04-19,32.15,3.64
29,2021-04-20,31.59,-1.74
30,2021-04-21,31.07,-1.65
31,2021-04-22,31.27,0.64
32,2021-04-23,31.19,-0.26
33,2021-04-26,30.98,-0.67
34,2021-04-27,30.00,-3.16
35,2021-04-28,31.97,6.57
36,2021-04-29,34.65,8.38
37,2021-04-30,35.02,1.07
38,2021-05-06,35.99,2.77
39,2021-05-07,35.06,-2.58
40,2021-05-10,36.28,3.48
41,2021-05-11,35.47,-2.23
42,2021-05-12,37.32,5.22
43,2021-05-13,38.17,2.28
44,2021-05-14,41.91,9.80
45,2021-05-17,37.17,-11.31
46,2021-05-18,36.04,-3.04
47,2021-05-19,37.35,3.63
48,2021-05-20,36.32,-2.76
49,2021-05-21,34.99,-3.66
50,2021-05-24,36.11,3.20
51,2021-05-25,36.50,1.08
52,2021-05-26,35.08,-3.89
53,2021-05-27,37.67,7.38
54,2021-05-28,36.96,-1.88
55,2021-05-31,38.81,5.01
56,2021-06-01,39.26,1.16
57,2021-06-02,38.96,-0.76
58,2021-06-03,37.70,-3.23
59,2021-06-04,38.77,2.84
60,2021-06-07,38.89,0.31
61,2021-06-08,37.25,-4.22
62,2021-06-09,37.70,1.21
63,2021-06-10,38.04,0.90
64,2021-06-11,35.53,-6.60
65,2021-06-15,35.64,0.31
66,2021-06-16,35.22,-1.18
67,2021-06-17,37.63,6.84
68,2021-06-18,38.38,1.99
69,2021-06-21,39.03,1.69
70,2021-06-22,38.33,-1.79
71,2021-06-23,38.69,0.94
72,2021-06-24,37.53,-3.00
73,2021-06-25,36.80,-1.95
74,2021-06-28,36.68,-0.33
75,2021-06-29,37.21,1.44
76,2021-06-30,40.37,8.49
77,2021-07-01,39.26,-2.75
78,2021-07-02,38.86,-1.02
79,2021-07-05,42.14,8.44
80,2021-07-06,41.38,-1.80
81,2021-07-07,47.50,14.79
82,2021-07-08,48.19,1.45
