日期,收盘价,涨跌幅
0,2021-03-29,28.00,69.59
1,2021-03-30,28.50,1.79
2,2021-03-31,26.40,-7.37
3,2021-04-01,26.23,-0.64
4,2021-04-02,26.95,2.74
5,2021-04-06,26.54,-1.52
6,2021-04-07,26.78,0.90
7,2021-04-08,26.32,-1.72
8,2021-04-09,26.75,1.63
9,2021-04-12,26.33,-1.57
10,2021-04-13,25.43,-3.42
11,2021-04-14,25.58,0.59
12,2021-04-15,25.20,-1.49
13,2021-04-16,26.30,4.37
14,2021-04-19,27.95,6.27
15,2021-04-20,27.10,-3.04
16,2021-04-21,26.45,-2.40
17,2021-04-22,26.57,0.45
18,2021-04-23,26.65,0.30
19,2021-04-26,26.68,0.11
20,2021-04-27,25.80,-3.30
21,2021-04-28,26.04,0.93
22,2021-04-29,25.41,-2.42
23,2021-04-30,26.05,2.52
24,2021-05-06,31.32,20.23
25,2021-05-07,33.27,6.23
26,2021-05-10,31.54,-5.20
27,2021-05-11,34.30,8.75
28,2021-05-12,33.90,-1.17
29,2021-05-13,32.93,-2.86
30,2021-05-14,34.49,4.74
31,2021-05-17,34.60,0.32
32,2021-05-18,34.85,0.72
33,2021-05-19,34.26,-1.69
34,2021-05-20,33.12,-3.33
35,2021-05-21,32.93,-0.57
36,2021-05-24,32.45,-1.46
37,2021-05-25,33.16,2.19
38,2021-05-26,33.66,1.51
39,2021-05-27,38.79,15.24
40,2021-05-28,42.51,9.59
41,2021-05-31,46.66,9.76
42,2021-06-01,45.40,-2.70
43,2021-06-02,47.06,3.66
44,2021-06-03,46.20,-1.83
45,2021-06-04,44.71,-3.23
46,2021-06-07,46.00,2.89
47,2021-06-08,44.60,-3.04
48,2021-06-09,41.33,-7.33
49,2021-06-10,42.20,2.11
50,2021-06-11,41.10,-2.61
51,2021-06-15,39.15,-4.74
52,2021-06-16,41.77,6.69
53,2021-06-17,43.05,3.06
54,2021-06-18,47.00,9.18
55,2021-06-21,47.88,1.87
56,2021-06-22,49.66,3.72
57,2021-06-23,49.30,-0.72
58,2021-06-24,47.22,-4.22
59,2021-06-25,50.18,6.27
60,2021-06-28,54.81,9.23
61,2021-06-29,55.63,1.50
62,2021-06-30,54.66,-1.74
63,2021-07-01,59.30,8.49
64,2021-07-02,59.85,0.93
65,2021-07-05,70.03,17.01
66,2021-07-06,67.00,-4.33
67,2021-07-07,79.98,19.37
