日期,收盘价,涨跌幅
0,2021-05-21,39.00,253.58
1,2021-05-24,30.82,-20.97
2,2021-05-25,32.70,6.10
3,2021-05-26,35.24,7.77
4,2021-05-27,35.20,-0.11
5,2021-05-28,33.58,-4.60
6,2021-05-31,34.99,4.20
7,2021-06-01,37.74,7.86
8,2021-06-02,41.80,10.76
9,2021-06-03,41.46,-0.81
10,2021-06-04,40.05,-3.40
11,2021-06-07,40.16,0.27
12,2021-06-08,36.00,-10.36
13,2021-06-09,34.44,-4.33
14,2021-06-10,36.10,4.82
15,2021-06-11,34.20,-5.26
16,2021-06-15,34.45,0.73
17,2021-06-16,31.24,-9.32
18,2021-06-17,32.00,2.43
19,2021-06-18,31.56,-1.38
20,2021-06-21,34.74,10.08
21,2021-06-22,34.60,-0.40
22,2021-06-23,34.28,-0.92
23,2021-06-24,33.40,-2.57
24,2021-06-25,32.45,-2.84
25,2021-06-28,33.20,2.31
26,2021-06-29,34.10,2.71
27,2021-06-30,35.50,4.11
28,2021-07-01,37.45,5.49
29,2021-07-02,38.17,1.92
30,2021-07-05,43.58,14.17
31,2021-07-06,42.00,-3.63
32,2021-07-07,47.95,14.17
